@relation mozilla4-weka.filters.unsupervised.attribute.Remove-R1

@attribute start numeric
@attribute end numeric
@attribute event numeric
@attribute size numeric
@attribute state {0,1}

@data
32222,35088,1,59,1
35088,36867,1,60,1
36867,85445,0,62,1
85445,105660,0,62,1
105660,113333,1,62,1
113333,276573,0,62,1
0,2931,1,51,0
2931,3186,1,54,1
3186,32222,1,55,1
32222,35088,1,59,1
35088,36867,1,60,1
36867,85445,0,62,1
85445,105660,0,62,1
105660,114576,0,62,1
0,2931,1,51,0
2931,3186,1,54,1
3186,32222,1,55,1
32222,35088,1,59,1
35088,36867,1,60,1
36867,85445,0,62,1
85445,105660,0,62,1
105660,113333,1,62,1
113333,276573,0,62,1
0,122056,1,36,0
122056,163760,0,45,1
0,6230,1,53,0
6230,493873,1,53,1
493873,570074,1,53,1
570074,570141,1,53,1
570141,696433,1,55,1
696433,1338413,0,50,1
1338413,1717379,1,36,1
1717379,1802720,0,36,1
0,122056,1,83,0
122056,163760,0,94,1
0,6230,1,99,0
6230,97361,1,97,1
97361,333560,1,117,1
333560,696434,1,116,1
696434,1338414,0,123,1
1338414,1717380,1,83,1
1717380,1802721,0,83,1
0,163760,0,30,0
0,97362,1,30,0
97362,333561,1,35,1
333561,493874,1,35,1
493874,550139,0,36,1
550139,550201,1,30,1
550201,554191,1,31,1
554191,1338413,0,30,1
1338413,1717379,1,30,1
1717379,1802720,0,30,1
0,2791,0,166,0
2791,3192,1,218,0
3192,8338,1,199,1
8338,9920,0,200,1
9920,11451,0,214,1
11451,292179,0,222,1
292179,292216,0,222,1
292216,1404050,0,250,1
0,1070211,0,17,0
0,743530,1,13,0
743530,1024782,0,13,1
1024782,1209944,0,13,1
0,646021,1,13,0
646021,1024842,1,13,1
1024842,1109527,1,13,1
1109527,1495161,1,13,1
1495161,1846782,0,13,1
0,121,0,11,0
0,84237,0,46,0
0,30452,1,46,0
30452,505494,1,46,1
505494,917149,0,46,1
917149,1451666,0,45,1
0,36957,1,40,0
36957,121194,0,40,1
0,30265,1,40,0
30265,1451481,0,40,1
0,1185,0,213,0
1185,8109,0,377,0
8109,29985,1,362,0
29985,31296,0,405,1
31296,218717,1,424,1
218717,245914,1,534,1
245914,262596,1,552,1
262596,262983,0,551,1
262983,666343,0,551,1
0,129904,0,221,0
0,1855080,0,15,0
0,1560958,0,15,0
0,629213,0,126,0
0,30092,1,46,0
30092,629213,0,104,1
0,17436,0,47,0
0,17436,0,20,0
0,5848,0,326,0
5848,256445,0,265,0
0,1478938,0,46,0
0,1413388,0,33,0
0,1413388,0,10,0
0,1051781,1,164,0
1051781,1190996,1,155,1
1190996,1413387,0,155,1
0,185535,0,175,0
185535,185645,1,175,0
185645,318159,0,175,1
318159,809299,1,175,1
809299,901024,1,175,1
901024,919410,0,179,1
0,185535,0,175,0
185535,185645,1,175,0
185645,318159,0,175,1
318159,809299,1,175,1
809299,914987,1,175,1
914987,1192420,1,179,1
1192420,1212757,0,213,1
1212757,1713458,1,217,1
1713458,1773726,1,217,1
1773726,1869027,0,201,1
0,998174,0,25,0
0,1700651,0,25,0
0,747640,0,81,0
0,1450117,0,81,0
0,1777032,0,118,0
0,70667,0,674,0
70667,356461,0,655,0
356461,795561,0,678,0
795561,1777031,0,731,0
0,1420571,0,193,0
0,1478938,0,26,0
0,114602,1,388,0
114602,1923842,0,388,1
0,6265,0,888,0
6265,93217,0,1247,0
93217,486132,0,1268,0
486132,1471017,0,1268,0
0,1632973,0,4,0
0,1622698,0,44,0
0,1632973,0,51,0
0,2465,0,1026,0
2465,50381,0,34,0
50381,1864629,0,37,0
0,128215,1,25,0
128215,304685,0,25,1
304685,1937454,0,27,1
0,6526,1,1132,0
6526,24741,1,1193,1
24741,74646,1,1206,1
74646,81123,0,1243,1
81123,468025,1,1238,1
468025,1883885,0,1215,1
0,292520,0,95,0
292520,348204,1,95,0
348204,364330,0,96,1
364330,1225364,1,97,1
1225364,1925288,0,97,1
0,1415860,0,31,0
0,54520,1,65,0
54520,589327,0,65,1
0,537,0,47,0
0,1368,0,9,0
0,110,1,74,0
110,229285,1,74,1
229285,715489,1,74,1
715489,733875,0,84,1
0,110,1,74,0
110,229285,1,74,1
229285,729453,1,74,1
729453,1006886,1,84,1
1006886,1683494,0,88,1
0,110,1,193,0
110,623764,1,193,1
623764,715489,1,193,1
715489,733875,0,189,1
0,110,1,193,0
110,623764,1,193,1
623764,729452,1,193,1
729452,1006885,1,189,1
1006885,1683493,0,189,1
0,1201096,0,26,0
0,1201096,0,11,0
0,1855080,0,23,0
0,1560958,0,23,0
0,1837,0,35,0
1837,368513,0,36,0
0,13779,0,751,0
13779,31696,1,752,0
31696,40082,0,755,1
40082,73428,1,765,1
73428,119385,0,968,1
119385,386725,0,943,1
0,267340,0,7,0
0,747640,0,24,0
0,1312362,0,24,0
0,118934,0,33,0
0,321111,0,9,0
0,110,1,60,0
110,715489,1,60,1
715489,733875,0,56,1
0,110,1,60,0
110,729453,1,60,1
729453,1006886,1,56,1
1006886,1683494,0,61,1
0,277805,0,13,0
0,439358,0,148,0
0,265350,0,371,0
265350,327081,1,377,0
327081,1198194,1,490,1
1198194,1898118,0,493,1
0,230658,1,403,0
230658,409746,1,403,1
409746,427209,1,403,1
427209,998172,0,403,1
0,230658,1,403,0
230658,409746,1,403,1
409746,427209,1,403,1
427209,1700649,0,403,1
0,125463,0,246,0
125463,427211,1,246,0
427211,553454,0,246,1
553454,998174,0,250,1
0,125463,0,246,0
125463,427211,1,246,0
427211,553454,0,246,1
553454,1066168,0,250,1
1066168,1066173,0,251,1
1066173,1186954,1,250,1
1186954,1224166,1,248,1
1224166,1420642,1,246,1
1420642,1562881,1,245,1
1562881,1562900,1,246,1
1562900,1700648,0,242,1
0,1003009,0,91,0
1003009,1381975,1,91,0
1381975,1630319,0,91,1
0,110,1,92,0
110,132624,0,94,1
132624,715489,1,92,1
715489,733875,0,85,1
0,110,1,92,0
110,132624,0,94,1
132624,729453,1,92,1
729453,1006886,1,85,1
1006886,1683494,0,86,1
0,466859,0,19,0
466859,1338415,0,19,0
1338415,1717381,1,19,0
1717381,1965725,0,19,1
0,1338416,0,5,0
1338416,1717382,1,5,0
1717382,1965726,0,5,1
0,110,1,138,0
110,132624,0,139,1
132624,715489,1,142,1
715489,733875,0,139,1
0,110,1,138,0
110,132624,0,139,1
132624,729453,1,142,1
729453,1006886,1,139,1
1006886,1683494,0,139,1
0,18386,0,35,0
0,144756,0,35,0
0,1647356,0,1,0
0,1807485,0,1,0
0,1647356,0,1,0
0,829402,0,1,0
0,1807485,0,1,0
0,1035812,0,1,0
0,1667675,0,107,0
0,1070211,0,114,0
0,1632769,0,19,0
0,1927936,0,103,0
0,79670,1,308,0
79670,350259,0,289,1
350259,392339,1,308,1
392339,531994,1,289,1
531994,1927934,0,285,1
0,47094,1,134,0
47094,118934,0,16,1
0,47094,1,15,0
47094,321110,0,133,1
0,1035493,0,29,0
1035493,1414459,1,29,0
1414459,1662803,0,29,1
0,163197,0,37,0
0,259035,0,47,0
259035,455365,1,50,0
455365,1338414,0,50,1
1338414,1717380,1,48,1
1717380,1802526,0,48,1
0,1400862,0,24,0
0,165509,1,31,0
165509,384457,1,31,1
384457,1265823,0,33,1
1265823,1402764,0,33,1
1402764,1451499,1,34,1
1451499,1500607,1,37,1
1500607,1847377,0,37,1
0,165509,1,31,0
165509,747063,0,31,1
0,165509,1,23,0
165509,1847379,0,25,1
0,165509,1,23,0
165509,747063,0,25,1
0,19875,0,54,0
19875,767515,0,56,0
0,19875,0,54,0
19875,1469992,0,56,0
0,227565,0,295,0
0,211127,1,127,0
211127,978642,0,127,1
0,211127,1,127,0
211127,1681120,0,127,1
0,110,1,11,0
110,715489,1,12,1
715489,733875,0,12,1
0,110,1,11,0
110,729453,1,12,1
729453,1683495,0,12,1
0,1594613,0,186,0
0,1201096,0,11,0
0,14,1,124,0
14,772071,0,124,1
0,1022734,0,95,0
0,1019090,0,805,0
1019090,1791480,0,861,0
0,318,1,214,0
318,772389,0,214,1
0,333,1,778,0
333,772390,0,778,1
0,370910,0,653,0
0,119237,0,585,0
119237,891627,0,569,0
0,370910,0,464,0
0,371352,0,112,0
0,1022734,0,189,0
0,18386,0,28,0
0,163125,1,28,0
163125,277433,1,28,1
277433,954041,0,43,1
0,1938441,0,1174,0
0,1572473,0,38,0
0,130597,0,18,0
0,1560958,0,131,0
0,110,1,99,0
110,623764,1,99,1
623764,715489,1,99,1
715489,733875,0,95,1
0,110,1,99,0
110,623764,1,99,1
623764,729452,1,99,1
729452,1006885,1,95,1
1006885,1683493,0,101,1
0,96453,1,421,0
96453,286938,0,390,1
286938,438196,1,390,1
438196,1919707,0,403,1
0,1070211,0,71,0
0,31560,1,369,0
31560,425556,1,412,1
425556,619059,1,413,1
619059,669266,1,414,1
669266,705635,1,422,1
705635,722331,1,422,1
722331,1020438,1,445,1
1020438,1778289,0,445,1
0,425557,1,189,0
425557,619060,1,195,1
619060,665175,0,195,1
665175,669266,1,438,1
669266,677634,1,439,1
677634,688215,1,457,1
688215,688219,1,475,1
688219,705633,1,476,1
705633,709438,1,476,1
709438,722329,1,476,1
722329,1020436,1,476,1
1020436,1778287,0,476,1
0,66755,1,2544,0
66755,497372,1,1511,1
497372,723398,1,1510,1
723398,923445,1,1519,1
923445,1763287,0,1527,1
0,1409738,0,230,0
0,1632973,0,15,0
0,64795,0,1878,0
64795,79359,0,1906,0
79359,193157,1,1888,0
193157,197331,0,1885,1
197331,203803,1,1880,1
203803,767513,0,1873,1
0,64795,0,1878,0
64795,79359,0,1906,0
79359,193157,1,1888,0
193157,197331,0,1885,1
197331,203803,1,1880,1
203803,905981,1,1873,1
905981,907520,1,1870,1
907520,1026681,1,1870,1
1026681,1103594,1,1875,1
1103594,1250531,1,1808,1
1250531,1332163,1,1834,1
1332163,1353279,1,1837,1
1353279,1475979,1,1864,1
1475979,1476339,1,1770,1
1476339,1536305,1,1784,1
1536305,1584280,1,1666,1
1584280,1591358,1,1745,1
1591358,1716799,0,1746,1
0,110,1,55,0
110,715489,1,55,1
715489,733875,0,51,1
0,110,1,55,0
110,729453,1,55,1
729453,1006886,1,51,1
1006886,1683494,0,51,1
0,1201096,0,11,0
0,1632769,0,12,0
0,772390,0,64,0
0,738436,1,351,0
738436,1684695,0,420,1
0,26175,0,292,0
26175,1825138,0,304,0
0,6021,0,122,0
6021,18686,0,157,0
18686,26173,0,163,0
26173,121481,0,166,0
121481,1825135,0,168,0
0,1737874,0,155,0
0,62936,0,150,0
62936,1855080,0,160,0
0,62936,0,340,0
62936,926420,0,351,0
926420,1855079,0,350,0
0,10216,0,236,0
10216,23276,0,256,0
23276,24555,0,305,0
24555,31853,1,316,0
31853,35913,1,339,1
35913,1657324,0,350,1
0,173729,0,187,0
173729,1965873,0,194,0
0,104664,1,210,0
104664,1959744,0,210,1
0,149614,0,241,0
149614,1933888,0,257,0
0,1784274,0,206,0
0,137409,0,312,0
137409,157029,1,328,0
157029,323697,1,344,1
323697,737079,0,373,1
737079,1000890,0,373,1
1000890,1929549,0,373,1
0,30083,0,163,0
30083,74473,1,194,0
74473,157029,1,198,1
157029,1929552,0,211,1
0,1201096,0,11,0
0,398804,0,5,0
0,1180830,1,15,0
1180830,1495006,1,14,1
1495006,1526338,0,15,1
0,980444,1,39,0
980444,1003008,0,43,1
1003008,1381974,1,43,1
1381974,1630318,0,43,1
0,333561,0,48,0
0,118934,0,33,0
0,321111,0,9,0
0,12558,0,21,0
0,1681870,0,16,0
0,581554,0,16,0
0,436142,1,7,0
436142,678430,0,9,1
0,6192,0,8,0
0,215974,0,33,0
0,163760,0,17,0
0,1004945,0,17,0
1004945,1383911,1,17,0
1383911,1469252,0,17,1
0,36957,1,66,0
36957,44877,0,69,1
0,30265,1,66,0
30265,44877,0,69,1
0,74805,0,69,0
0,1261307,1,69,0
1261307,1405643,0,69,1
0,325209,0,115,0
0,36957,1,119,0
36957,44877,0,123,1
0,187,1,115,0
187,30452,1,119,1
30452,45064,0,123,1
0,12458,1,123,0
12458,74805,0,122,1
0,13008,1,123,0
13008,1245500,1,122,1
1245500,1261306,1,69,1
1261306,1263940,1,68,1
1263940,1405641,0,68,1
0,523455,0,113,0
0,1201096,0,19,0
0,294549,0,121,0
294549,673515,1,121,0
673515,921859,0,121,1
0,277043,0,23,0
0,163760,0,27,0
0,1004945,0,27,0
1004945,1383911,1,27,0
1383911,1469252,0,27,1
0,277043,0,21,0
0,294549,0,243,0
294549,673515,1,243,0
673515,921859,0,243,1
0,345298,1,466,0
345298,355944,1,469,1
355944,919654,0,462,1
0,345298,1,466,0
345298,355944,1,469,1
355944,1622132,0,462,1
0,431582,1,55,0
431582,1026466,1,55,1
1026466,1784317,0,55,1
0,158737,1,164,0
158737,215959,1,199,1
215959,220329,1,216,1
220329,242094,1,260,1
242094,431580,1,261,1
431580,625083,1,261,1
625083,671202,0,306,1
671202,675290,1,306,1
675290,694245,1,320,1
694245,705403,1,361,1
705403,711659,1,356,1
711659,728355,1,357,1
728355,802525,1,362,1
802525,1004950,1,362,1
1004950,1026460,1,362,1
1026460,1784311,0,362,1
0,919655,0,95,0
0,1221171,1,95,0
1221171,1718845,1,114,1
1718845,1868947,0,116,1
0,1594613,0,154,0
0,196258,1,49,0
196258,1765388,0,54,1
0,1763290,0,37,0
0,1252,1,590,0
1252,1888025,0,611,1
0,1632769,0,15,0
0,932845,1,19,0
932845,1632769,0,19,1
0,1855080,0,18,0
0,1560958,0,18,0
0,1855080,0,18,0
0,1560958,0,18,0
0,1802762,0,8,0
0,1855080,0,21,0
0,1560958,0,21,0
0,1201096,0,11,0
0,1927936,0,178,0
0,1632769,0,12,0
0,1201096,0,142,0
0,747640,0,46,0
0,1450117,0,46,0
0,110,1,26,0
110,715489,1,26,1
715489,733875,0,22,1
0,110,1,26,0
110,729453,1,26,1
729453,874209,0,22,1
0,1201096,0,11,0
0,928659,0,44,0
0,404564,1,16,0
404564,511510,1,24,1
511510,681041,1,24,1
681041,732012,1,24,1
732012,883134,1,26,1
883134,1135918,0,26,1
1135918,1147458,0,26,1
0,404418,1,16,0
404418,511387,1,24,1
511387,583364,1,24,1
583364,731889,1,24,1
731889,883849,0,26,1
883849,1046869,1,26,1
1046869,1135794,0,26,1
1135794,1305539,0,26,1
1305539,1432501,1,36,1
1432501,1784122,0,36,1
0,476805,1,85,0
476805,630916,1,86,1
630916,793490,1,85,1
793490,793693,1,86,1
793693,807890,1,85,1
807890,877580,0,86,1
877580,888514,1,86,1
888514,943221,0,13,1
0,379251,1,85,0
379251,630916,1,86,1
630916,793455,1,85,1
793455,793693,1,86,1
793693,808342,1,85,1
808342,842756,1,86,1
842756,877581,0,86,1
877581,888619,1,86,1
888619,1108584,1,13,1
1108584,1228389,1,22,1
1228389,1580010,0,22,1
0,59300,1,820,0
59300,187690,1,851,1
187690,209158,1,854,1
209158,209242,1,855,1
209242,223002,1,843,1
223002,326711,1,840,1
326711,462648,1,843,1
462648,476786,1,848,1
476786,492628,1,848,1
492628,642233,1,848,1
642233,731711,0,863,1
731711,750493,1,867,1
750493,751030,1,868,1
751030,763183,0,867,1
763183,780950,1,874,1
780950,813645,0,866,1
813645,814319,0,870,1
814319,943201,0,874,1
0,59300,1,820,0
59300,187688,1,851,1
187688,209158,1,853,1
209158,209242,1,855,1
209242,223002,1,843,1
223002,326264,0,840,1
326264,379233,1,843,1
379233,462649,1,835,1
462649,491501,1,848,1
491501,642234,1,848,1
642234,731712,0,863,1
731712,750215,1,867,1
750215,751030,1,868,1
751030,763183,0,867,1
763183,780950,1,874,1
780950,813530,0,866,1
813530,814320,0,870,1
814320,842735,1,874,1
842735,1103333,0,874,1
1103333,1228368,1,875,1
1228368,1228379,1,875,1
1228379,1308734,1,877,1
1308734,1341562,1,878,1
1341562,1343514,1,878,1
1343514,1349090,1,996,1
1349090,1389019,1,999,1
1389019,1579986,0,999,1
0,224889,0,14,0
0,110,1,122,0
110,132624,0,134,1
132624,715489,1,124,1
715489,733875,0,100,1
0,110,1,122,0
110,132624,0,134,1
132624,729453,1,124,1
729453,1006886,1,100,1
1006886,1035717,1,103,1
1035717,1107663,1,99,1
1107663,1683493,0,101,1
0,1632769,0,15,0
0,215974,0,8,0
0,747640,0,25,0
0,1450117,0,25,0
0,110,1,26,0
110,715489,1,26,1
715489,733875,0,22,1
0,110,1,26,0
110,729453,1,26,1
729453,874209,0,22,1
0,747640,0,159,0
0,1450117,0,159,0
0,919655,0,37,0
0,1868948,0,37,0
0,70754,0,481,0
70754,79556,1,353,0
79556,89868,0,357,1
89868,100773,1,369,1
100773,109496,0,375,1
109496,124566,1,375,1
124566,136195,0,410,1
136195,139656,1,443,1
139656,145547,0,480,1
145547,196587,0,525,1
196587,230977,0,573,1
230977,276229,0,569,1
276229,313219,1,572,1
313219,948380,0,590,1
948380,955463,0,598,1
955463,1934629,0,608,1
0,747640,0,49,0
0,1450117,0,49,0
0,1859145,0,210,0
0,110,1,172,0
110,168503,1,172,1
168503,623764,1,172,1
623764,715489,1,173,1
715489,733875,0,174,1
0,110,1,172,0
110,168503,1,172,1
168503,623764,1,172,1
623764,729452,1,173,1
729452,920410,1,174,1
920410,1006884,1,172,1
1006884,1035715,1,174,1
1035715,1338064,1,285,1
1338064,1683491,0,307,1
0,747640,0,43,0
0,1450117,0,43,0
0,90837,1,102,0
90837,234792,0,102,1
234792,234902,1,101,1
234902,371447,1,107,1
371447,950280,1,102,1
950280,968666,0,99,1
0,90837,1,102,0
90837,234792,0,102,1
234792,234902,1,101,1
234902,371447,1,107,1
371447,964244,1,102,1
964244,1205675,1,99,1
1205675,1241677,1,108,1
1241677,1918285,0,109,1
0,8533,1,103,0
8533,11204,1,90,1
11204,1201094,0,90,1
0,767515,0,58,0
0,1469993,0,58,0
0,72015,0,64,0
72015,1632973,0,66,0
0,132940,0,92,0
132940,162914,0,96,0
162914,1947188,0,140,0
0,313246,0,27,0
0,122094,1,30,0
122094,163759,0,34,1
0,6230,1,16,0
6230,97361,1,15,1
97361,430728,1,21,1
430728,1338414,0,25,1
1338414,1717380,1,24,1
1717380,1802721,0,24,1
0,1446133,0,13,0
0,409769,1,527,0
409769,919654,0,572,1
0,409769,1,527,0
409769,1158850,1,572,1
1158850,1167285,1,576,1
1167285,1192319,1,590,1
1192319,1717619,1,590,1
1717619,1868946,0,523,1
0,241891,1,430,0
241891,1938426,0,457,1
0,110,1,35,0
110,715489,1,35,1
715489,733875,0,31,1
0,110,1,35,0
110,729453,1,35,1
729453,1006886,1,31,1
1006886,1027223,0,31,1
1027223,1683494,0,34,1
0,1201096,0,11,0
0,1873523,0,13,0
0,9889,1,1053,0
9889,1905150,0,1048,1
0,1070211,0,23,0
0,1070211,0,592,0
0,1070211,0,1183,0
0,1070211,0,94,0
0,1070211,0,27,0
0,1070211,0,526,0
0,1070211,0,78,0
0,1070211,0,295,0
0,1070211,0,24,0
0,1070211,0,384,0
0,68047,0,37,0
0,277043,0,9,0
0,201061,1,78,0
201061,1927935,0,85,1
0,201061,1,240,0
201061,1927935,0,254,1
0,201061,1,96,0
201061,1927935,0,108,1
0,786485,0,362,0
786485,787708,1,391,0
787708,788969,1,391,1
788969,1026127,0,351,1
1026127,1588825,1,351,1
1588825,1602642,1,348,1
1602642,1868905,0,340,1
0,160011,1,46,0
160011,338125,1,46,1
338125,586469,0,46,1
0,1515056,0,37,0
0,153105,0,7,0
0,163704,1,28,0
163704,412048,0,28,1
0,163760,0,182,0
0,47094,1,489,0
47094,118999,0,54,1
118999,263565,1,35,1
263565,321115,0,502,1
321115,333559,1,27,1
333559,411405,1,27,1
411405,773348,0,333,1
0,298031,1,34,0
298031,321116,0,504,1
321116,333560,1,387,1
333560,334284,1,387,1
334284,337694,1,387,1
337694,401218,0,387,1
0,118934,0,38,0
0,321117,0,6,0
321117,333561,1,52,0
333561,1040836,1,29,1
1040836,1338415,0,29,1
1338415,1690127,0,29,1
0,122094,1,71,0
122094,163759,0,75,1
0,6230,1,72,0
6230,58082,1,73,1
58082,97361,1,72,1
97361,333560,1,77,1
333560,393474,1,72,1
393474,430727,1,72,1
430727,1338413,0,76,1
1338413,1717379,1,65,1
1717379,1802720,0,65,1
0,154662,1,19,0
154662,1403434,0,21,1
0,118999,0,81,0
118999,321110,0,8,0
0,298031,1,16,0
298031,321110,0,81,1
0,41251,0,38,0
41251,58601,0,41,0
58601,106210,1,41,0
106210,169603,1,38,1
169603,1057741,1,41,1
1057741,1086866,1,52,1
1086866,1402344,0,53,1
0,301845,1,102,0
301845,639382,0,102,1
639382,640395,1,102,1
640395,768263,0,102,1
0,204291,1,108,0
204291,293274,1,108,1
293274,639382,0,108,1
639382,640390,0,108,1
640390,667797,1,108,1
667797,957305,1,108,1
957305,1053430,1,108,1
1053430,1405051,0,108,1
0,118934,0,42,0
0,321111,0,10,0
0,333561,1,105,0
333561,1035428,0,69,1
0,78827,0,12,0
0,1927936,0,201,0
0,1582,0,114,0
1582,283879,0,130,0
283879,1395713,0,135,0
0,1925158,0,75,0
0,163760,0,144,0
0,47094,1,377,0
47094,118999,0,21,1
118999,333560,1,12,1
333560,334284,1,12,1
334284,773349,0,12,1
0,298031,1,30,0
298031,321116,0,299,1
321116,333560,1,260,1
333560,334284,1,255,1
334284,337694,1,255,1
337694,401223,0,248,1
401223,1035120,1,27,1
1035120,1338411,0,211,1
1338411,1690334,1,211,1
1690334,1717376,1,144,1
1717376,1802717,0,144,1
0,1450598,0,27,0
0,122094,1,67,0
122094,163759,0,77,1
0,6230,1,77,0
6230,97361,1,82,1
97361,430728,1,80,1
430728,1338414,0,80,1
1338414,1717380,1,67,1
1717380,1802721,0,67,1
0,6192,0,63,0
0,1450598,0,11,0
0,1602783,0,12,0
0,466590,0,86,0
0,956159,0,277,0
0,17003,1,23,0
17003,956158,0,25,1
0,51188,0,464,0
51188,121615,0,557,0
121615,698296,0,568,0
0,15455,1,1183,0
15455,123376,0,75,1
123376,608008,0,75,1
608008,746332,1,1218,1
746332,754639,1,1328,1
754639,917603,0,78,1
917603,999082,0,76,1
999082,1294433,1,1356,1
1294433,1308930,1,76,1
1308930,1314848,1,75,1
1314848,1533844,1,73,1
1533844,1574507,0,1306,1
0,634566,1,81,0
634566,646166,0,79,1
646166,659326,0,76,1
659326,685172,0,77,1
685172,1128518,0,73,1
1128518,1585469,0,74,1
0,737520,0,261,0
0,24090,1,299,0
24090,1559056,0,298,1
0,646166,0,36,0
646166,1585471,0,34,0
0,9239,0,239,0
9239,72554,0,363,0
72554,91301,0,371,0
91301,98909,0,426,0
98909,490879,0,448,0
490879,968710,0,464,0
0,118999,0,81,0
118999,321110,0,13,0
0,298031,1,14,0
298031,321110,0,76,1
0,118934,0,36,0
0,321111,0,6,0
0,1493065,0,15,0
0,1413388,0,30,0
0,6230,1,21,0
6230,97361,1,9,1
97361,333560,1,9,1
333560,696403,0,9,1
0,6230,1,7,0
6230,333560,1,9,1
333560,1338414,0,9,1
1338414,1717380,1,9,1
1717380,1802721,0,9,1
0,163197,0,13,0
0,1338416,0,29,0
1338416,1717382,1,29,0
1717382,1802528,0,29,1
0,163197,0,12,0
0,1338416,0,18,0
1338416,1717382,1,18,0
1717382,1802528,0,18,1
0,163197,0,12,0
0,1338416,0,18,0
1338416,1717382,1,18,0
1717382,1802528,0,18,1
0,163197,0,12,0
0,1338416,0,18,0
1338416,1717382,1,18,0
1717382,1802528,0,18,1
0,23660,0,18,0
0,755413,1,18,0
755413,1426131,1,18,1
1426131,1806892,0,18,1
1806892,1834959,0,18,1
0,122056,1,8,0
122056,163760,0,47,1
0,6230,1,20,0
6230,333560,1,8,1
333560,550138,0,8,1
550138,1015428,1,9,1
1015428,1338413,0,8,1
1338413,1717379,1,8,1
1717379,1802720,0,8,1
0,20203,1,720,0
20203,47093,1,393,1
47093,298030,1,393,1
298030,333559,1,392,1
333559,696402,0,388,1
0,6230,1,666,0
6230,333560,1,771,1
333560,334284,1,815,1
334284,340123,1,815,1
340123,373089,1,812,1
373089,696402,0,822,1
0,97362,1,15,0
97362,333561,1,16,1
333561,411407,1,16,1
411407,493873,1,16,1
493873,550121,0,17,1
0,6192,0,21,0
0,6192,0,34,0
0,1556865,0,328,0
0,122056,1,37,0
122056,163760,0,58,1
0,6230,1,58,0
6230,333560,1,38,1
333560,550138,0,38,1
550138,570073,1,41,1
570073,570140,1,38,1
570140,696432,1,41,1
696432,1338412,0,37,1
1338412,1717378,1,32,1
1717378,1802719,0,32,1
0,476318,0,67,0
0,476318,0,44,0
0,476318,0,29,0
0,122094,1,74,0
122094,163759,0,78,1
0,6230,1,75,0
6230,97361,1,76,1
97361,430728,1,82,1
430728,1338414,0,82,1
1338414,1717380,1,68,1
1717380,1802721,0,68,1
0,122056,1,96,0
122056,163760,0,123,1
0,6230,1,156,0
6230,97361,1,130,1
97361,120400,1,131,1
120400,333559,1,131,1
333559,334283,1,130,1
334283,337693,1,130,1
337693,520719,1,128,1
520719,550136,0,116,1
550136,570071,1,118,1
570071,570138,1,116,1
570138,696430,1,118,1
696430,752712,1,122,1
