CapInScen,MidLLapse,WindAloft,LowLLapse,ScenRelAMCIN,CombMoisture,MeanRH,SynForcng,AMInstabMt,ScenRelAMIns,MorningCIN,SubjVertMo,QGVertMotion,OutflowFrMt,CombClouds,SatContMoist,AreaMoDryAir,AMInsWliScen,IRCloudCover,CldShadeConv,LIfr12ZDENSd,ScnRelPlFcst,CurPropConv,N0_7muVerMo,TempDis,Scenario,MvmtFeatures,InsChange,LLIW,Boundaries,LoLevMoistAd,AreaMeso_ALS,WndHodograph,LatestCIN,MountainFcst,Date,RHRatio,VISCloudCov,ScenRel3_4,N34StarFcst,CapChange,WindFieldMt,InsInMt,InsSclInScen,CompPlFcst,CldShadeOth,RaoContMoist,MorningBound,R5Fcst,Dewpoints,CombVerMo,AMDewptCalPl,SfcWndShfDis,AMCINInScen,WindFieldPln,PlainsFcst
LessThanAve,CloseToDryAd,NWQuad,ModerateOrLe,CThruK,Dry,Average,PosToNeg,Weak,CDEJ,PartInhibit,StronUp,Down,Weak,Clear,Wet,Dry,Average,Clear,Some,N1GtLIGt_4,D,,Neutral,Other,D,OtherRapid,LittleChange,Unfavorable,Weak,Neutral,Neutral,Other,,XNIL,May15_Jun14,DryMMoistL,PC,D,XNIL,LittleChange,Westerly,Weak,LessUnstable,LittleChange,Clear,Neutral,,XNIL,LowAtStation,Neutral,Instability,DryLine,Average,SEQuad,XNIL
MoreThanAve,Steep,SWQuad,Steep,AB,VeryWet,VeryMoist,PosToNeg,Strong,ABI,Stifling,Neutral,Neutral,Strong,PC,Neutral,VeryWet,LessUnstable,Clear,Marked,N5GtLIGt_8,A,Slight,StrongUp,Other,A,StrongFront,LittleChange,Weak,Strong,WeakPos,StrongUp,StrongWest,Stifling,SIG,May15_Jun14,DryMMoistL,PC,ACEFK,SIG,LittleChange,Westerly,Strong,LessUnstable,LittleChange,Cloudy,Wet,Weak,SIG,Other,StrongUp,Neutral,E_W_S,Average,DenvCyclone,SIG
LessThanAve,Steep,NWQuad,Steep,CThruK,Wet,Average,SigPositive,,K,PartInhibit,Neutral,Down,,Clear,Neutral,Wet,MoreUnstable,Clear,,N5GtLIGt_8,K,,StrongUp,Other,K,StrongFront,Increasing,Weak,Weak,WeakPos,Neutral,DCVZFavor,PartInhibit,XNIL,Aug20_Sep15,DryMMoistL,Clear,ACEFK,XNIL,Decreasing,LVorOther,,MoreUnstable,DecCapIncIns,Clear,Neutral,,XNIL,LowAtStation,Neutral,Instability,E_W_N,LessThanAve,LongAnticyc,XNIL
LessThanAve,ModerateOrLe,AllElse,Stable,AB,Wet,Average,NegToPos,,ABI,PartInhibit,Neutral,Neutral,,PC,Neutral,Wet,Average,PC,,N5GtLIGt_8,A,Moderate,Down,Other,A,OtherRapid,LittleChange,Strong,,Neutral,Neutral,DCVZFavor,PartInhibit,XNIL,May15_Jun14,Other,PC,ACEFK,SIG,LittleChange,Westerly,,Average,LittleChange,Cloudy,Dry,,SIG,HighEvrywher,Neutral,Neutral,DenvCyclone,LessThanAve,SEQuad,SIG
MoreThanAve,CloseToDryAd,NWQuad,Steep,CThruK,Wet,Dry,SigNegative,Weak,CDEJ,TotalInhibit,Neutral,Neutral,Strong,Clear,Dry,Wet,LessUnstable,PC,Some,LIGt0,D,Slight,Down,Other,D,OtherRapid,Increasing,Unfavorable,Strong,Negative,Neutral,Westerly,,SVR,Jun15_Jul1,MoistMDryL,PC,D,XNIL,LittleChange,Westerly,Strong,Average,LittleChange,Clear,Dry,,SVR,LowMtsHighPl,Neutral,Instability,DryLine,MoreThanAve,LongAnticyc,XNIL
Average,ModerateOrLe,SWQuad,ModerateOrLe,CThruK,Wet,Dry,PosToNeg,Strong,CDEJ,PartInhibit,Down,Neutral,,Clear,VeryWet,Wet,MoreUnstable,Clear,Some,N5GtLIGt_8,E,Moderate,StrongUp,,E,StrongFront,Increasing,Moderate,,Neutral,Neutral,Other,,XNIL,Jul2_Jul15,MoistMDryL,PC,ACEFK,SIG,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,Clear,Wet,,SIG,LowMtsHighPl,Neutral,Instability,,Average,LV,SIG
Average,Steep,AllElse,Steep,CThruK,VeryWet,Dry,SigNegative,Strong,K,,Down,Neutral,Strong,PC,Wet,Wet,Average,PC,Marked,N1GtLIGt_4,K,Strong,WeakUp,Moving,K,NoMajor,Increasing,Strong,Strong,WeakPos,Down,StrongWest,,SIG,Aug20_Sep15,Other,PC,ACEFK,XNIL,Increasing,Westerly,Strong,Average,IncCapDecIns,PC,Dry,,SIG,LowNHighS,Down,Stability,,LessThanAve,SEQuad,XNIL
Average,Steep,LV,ModerateOrLe,CThruK,Neutral,Dry,SigNegative,,ABI,,StronUp,Down,,Clear,Neutral,Neutral,MoreUnstable,Clear,,N1GtLIGt_4,I,Slight,WeakUp,Moving,I,OtherRapid,LittleChange,Moderate,,Neutral,Down,Other,PartInhibit,XNIL,Jul16_Aug10,DryMMoistL,Clear,HI,SIG,Increasing,LVorOther,,MoreUnstable,IncCapDecIns,Clear,Dry,Weak,SIG,LowSHighN,Down,Neutral,MovingFtorOt,Average,LV,SIG
MoreThanAve,ModerateOrLe,LV,ModerateOrLe,CThruK,Wet,Average,SigPositive,,ABI,,WeakUp,Neutral,,Cloudy,Dry,Wet,LessUnstable,Cloudy,,N1GtLIGt_4,I,Strong,Down,QStationary,I,NoMajor,Decreasing,Moderate,Weak,Negative,WeakUp,Westerly,,XNIL,Jun15_Jul1,DryMMoistL,PC,HI,XNIL,Increasing,LVorOther,,LessUnstable,IncCapDecIns,Cloudy,VeryWet,Weak,XNIL,LowSHighN,WeakUp,Neutral,MovingFtorOt,Average,E_NE,XNIL
Average,Steep,AllElse,ModerateOrLe,CThruK,Neutral,Average,PosToNeg,Weak,K,Stifling,Neutral,StrongUp,,PC,Wet,Neutral,MoreUnstable,PC,,N1GtLIGt_4,K,Moderate,Neutral,Moving,K,MarkedUpper,Decreasing,Strong,,Negative,WeakUp,Westerly,PartInhibit,XNIL,Jun15_Jul1,DryMMoistL,PC,ACEFK,XNIL,LittleChange,Westerly,Weak,LessUnstable,LittleChange,PC,Neutral,Weak,XNIL,Other,WeakUp,Instability,DryLine,Average,E_NE,XNIL
MoreThanAve,CloseToDryAd,NWQuad,CloseToDryAd,CThruK,Wet,Dry,SigPositive,Strong,G,Stifling,WeakUp,WeakUp,Weak,PC,Wet,Neutral,MoreUnstable,PC,Some,LILt_8,G,Strong,Neutral,,G,NoMajor,LittleChange,Strong,Strong,WeakPos,WeakUp,StrongWest,PartInhibit,SIG,Jul2_Jul15,MoistMDryL,PC,GJ,SIG,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,PC,VeryWet,Weak,SIG,Other,WeakUp,Stability,Other,MoreThanAve,LongAnticyc,SIG
LessThanAve,CloseToDryAd,AllElse,ModerateOrLe,CThruK,Dry,Average,LittleChange,Weak,K,,WeakUp,Neutral,Weak,PC,Neutral,Neutral,MoreUnstable,PC,,LIGt0,K,Slight,StrongUp,Moving,K,OtherRapid,LittleChange,Moderate,Weak,Negative,WeakUp,Other,PartInhibit,SIG,Aug20_Sep15,DryMMoistL,Clear,ACEFK,SIG,Increasing,Westerly,Weak,MoreUnstable,IncCapDecIns,Cloudy,VeryWet,,SIG,Other,WeakUp,Neutral,DryLine,LessThanAve,WidespdDnsl,SIG
Average,ModerateOrLe,AllElse,Steep,CThruK,Dry,VeryMoist,SigNegative,Strong,K,PartInhibit,Neutral,Down,Strong,Clear,Dry,Dry,MoreUnstable,Clear,Some,N5GtLIGt_8,K,,Down,Other,K,MarkedUpper,LittleChange,Weak,Strong,WeakPos,Down,DCVZFavor,PartInhibit,SIG,Aug20_Sep15,DryMMoistL,Clear,ACEFK,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Dry,Weak,SIG,LowEvrywhere,Down,Instability,MovingFtorOt,MoreThanAve,LongAnticyc,XNIL
MoreThanAve,CloseToDryAd,SWQuad,Steep,CThruK,Wet,Average,SigPositive,,ABI,Stifling,Neutral,Neutral,,Clear,Neutral,Wet,LessUnstable,Clear,,N1GtLIGt_4,I,,StrongUp,Moving,I,NoMajor,Increasing,Weak,Strong,Neutral,StrongUp,DCVZFavor,Stifling,XNIL,May15_Jun14,Other,Clear,HI,XNIL,Decreasing,Westerly,,LessUnstable,DecCapIncIns,PC,Neutral,Strong,XNIL,LowSHighN,StrongUp,Stability,MovingFtorOt,MoreThanAve,E_NE,XNIL
MoreThanAve,CloseToDryAd,SWQuad,CloseToDryAd,AB,Neutral,VeryMoist,LittleChange,Strong,ABI,PartInhibit,Down,Neutral,,PC,Neutral,Neutral,Average,PC,,N1GtLIGt_4,A,,StrongUp,QStationary,A,MarkedUpper,LittleChange,Weak,Weak,Neutral,Neutral,Other,TotalInhibit,XNIL,Aug20_Sep15,DryMMoistL,Clear,ACEFK,SVR,Increasing,Westerly,Strong,Average,IncCapDecIns,PC,Wet,Strong,SVR,HighEvrywher,Neutral,Instability,DenvCyclone,Average,DenvCyclone,SVR
LessThanAve,ModerateOrLe,LV,Steep,CThruK,VeryWet,VeryMoist,LittleChange,,F,PartInhibit,Neutral,Down,,Clear,VeryWet,VeryWet,MoreUnstable,Clear,,N1GtLIGt_4,F,,StrongUp,,F,NoMajor,LittleChange,Weak,,Neutral,Neutral,Westerly,PartInhibit,XNIL,Jul16_Aug10,Other,Clear,ACEFK,SIG,LittleChange,Westerly,,MoreUnstable,LittleChange,PC,Neutral,Strong,SIG,HighEvrywher,Neutral,Instability,,LessThanAve,SEQuad,SIG
Average,Steep,AllElse,Steep,CThruK,Neutral,Average,SigNegative,,CDEJ,PartInhibit,WeakUp,WeakUp,,Cloudy,VeryWet,Wet,MoreUnstable,Cloudy,,N1GtLIGt_4,C,Slight,StrongUp,,C,NoMajor,Decreasing,Weak,,Negative,WeakUp,Other,,XNIL,Aug11_Aug20,MoistMDryL,Clear,ACEFK,SIG,LittleChange,Westerly,,Average,LittleChange,Cloudy,Dry,,SIG,LowAtStation,WeakUp,Neutral,E_W_N,Average,WidespdDnsl,SIG
MoreThanAve,CloseToDryAd,LV,ModerateOrLe,CThruK,Neutral,Dry,PosToNeg,,ABI,PartInhibit,Down,Down,Weak,PC,Neutral,Neutral,Average,Clear,,N1GtLIGt_4,I,,StrongUp,QStationary,I,NoMajor,Increasing,Moderate,Weak,WeakPos,Down,Westerly,Stifling,XNIL,May15_Jun14,DryMMoistL,PC,HI,XNIL,Increasing,Westerly,Weak,MoreUnstable,IncCapDecIns,PC,Neutral,,XNIL,LowMtsHighPl,Down,Neutral,MovingFtorOt,Average,E_NE,XNIL
LessThanAve,CloseToDryAd,SWQuad,Stable,AB,Wet,Average,PosToNeg,Strong,ABI,PartInhibit,StronUp,Neutral,Weak,Clear,Dry,Wet,LessUnstable,Clear,Marked,LIGt0,A,Strong,Neutral,,A,StrongFront,Increasing,Strong,,WeakPos,StrongUp,Westerly,,SIG,Jul16_Aug10,Other,Clear,ACEFK,XNIL,Decreasing,Westerly,Strong,Average,DecCapIncIns,Clear,Neutral,,SIG,HighEvrywher,StrongUp,Stability,,LessThanAve,LV,XNIL
Average,Steep,SWQuad,ModerateOrLe,AB,Dry,Dry,NegToPos,Weak,ABI,PartInhibit,Down,Down,Strong,PC,Neutral,Dry,Average,PC,Marked,N5GtLIGt_8,B,Strong,Neutral,Other,B,NoMajor,Increasing,Strong,Strong,WeakPos,Down,DCVZFavor,,SIG,May15_Jun14,Other,Clear,B,XNIL,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Dry,,SIG,LowSHighN,Down,Stability,DenvCyclone,Average,E_NE,XNIL
LessThanAve,ModerateOrLe,AllElse,Stable,CThruK,Wet,VeryMoist,LittleChange,Strong,F,PartInhibit,WeakUp,Neutral,Weak,Clear,VeryWet,Wet,MoreUnstable,Clear,Marked,N5GtLIGt_8,F,Moderate,WeakUp,,F,NoMajor,Decreasing,Moderate,Weak,WeakPos,Neutral,StrongWest,,XNIL,Aug11_Aug20,Other,Clear,ACEFK,SIG,Decreasing,LVorOther,Strong,Average,DecCapIncIns,Clear,Neutral,Weak,SIG,HighEvrywher,Neutral,Neutral,,LessThanAve,SEQuad,SIG
LessThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,Dry,Average,SigNegative,Strong,K,PartInhibit,WeakUp,StrongUp,Strong,PC,Neutral,Neutral,Average,PC,Some,N1GtLIGt_4,K,Strong,WeakUp,Moving,K,StrongFront,Decreasing,Moderate,Weak,Negative,WeakUp,Westerly,,SIG,May15_Jun14,DryMMoistL,PC,ACEFK,XNIL,LittleChange,Westerly,Strong,Average,LittleChange,PC,Neutral,Strong,SIG,LowNHighS,WeakUp,Instability,MovingFtorOt,LessThanAve,SEQuad,XNIL
LessThanAve,ModerateOrLe,AllElse,Steep,AB,VeryWet,VeryMoist,LittleChange,Strong,ABI,PartInhibit,Neutral,Neutral,Strong,PC,VeryWet,VeryWet,LessUnstable,Clear,Marked,N1GtLIGt_4,B,,Down,QStationary,B,NoMajor,Increasing,Unfavorable,Strong,StrongPos,Neutral,DCVZFavor,,SIG,Jun15_Jul1,Other,PC,B,SIG,Decreasing,Westerly,Strong,Average,DecCapIncIns,Cloudy,Wet,Weak,SIG,HighEvrywher,Neutral,Stability,E_W_S,LessThanAve,DenvCyclone,SIG
LessThanAve,ModerateOrLe,NWQuad,Stable,CThruK,Neutral,Dry,PosToNeg,Weak,K,PartInhibit,Neutral,Neutral,Strong,PC,Neutral,Neutral,MoreUnstable,PC,Marked,N1GtLIGt_4,K,,Down,Other,K,StrongFront,LittleChange,Weak,Strong,WeakPos,Neutral,StrongWest,PartInhibit,XNIL,May15_Jun14,DryMMoistL,PC,ACEFK,SIG,Decreasing,Westerly,Strong,Average,DecCapIncIns,PC,VeryWet,,SIG,HighEvrywher,Neutral,Stability,E_W_S,MoreThanAve,DenvCyclone,SIG
MoreThanAve,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Neutral,Average,NegToPos,Weak,CDEJ,Stifling,Down,Down,,PC,Neutral,Dry,Average,Cloudy,Some,N1GtLIGt_4,E,,Down,,E,OtherRapid,LittleChange,Weak,,Neutral,Down,DCVZFavor,Stifling,XNIL,May15_Jun14,MoistMDryL,PC,ACEFK,XNIL,Increasing,Westerly,Weak,Average,IncCapDecIns,PC,Wet,Weak,XNIL,LowSHighN,Down,Neutral,,Average,E_NE,XNIL
LessThanAve,CloseToDryAd,LV,Steep,CThruK,VeryWet,Dry,LittleChange,Weak,CDEJ,PartInhibit,Neutral,StrongUp,Strong,PC,Dry,VeryWet,MoreUnstable,PC,Marked,N5GtLIGt_8,J,,StrongUp,Other,J,NoMajor,LittleChange,Unfavorable,Weak,Negative,StrongUp,StrongWest,Stifling,SIG,Jun15_Jul1,Other,PC,GJ,XNIL,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,Cloudy,Dry,Weak,SIG,LowAtStation,StrongUp,Instability,,LessThanAve,LV,XNIL
LessThanAve,Steep,SWQuad,Steep,AB,Dry,VeryMoist,PosToNeg,Strong,ABI,,Neutral,Neutral,,Clear,Wet,Neutral,LessUnstable,Clear,,N5GtLIGt_8,A,,StrongUp,QStationary,A,OtherRapid,Increasing,Moderate,Weak,StrongPos,WeakUp,Other,PartInhibit,SIG,Aug20_Sep15,DryMMoistL,Clear,ACEFK,XNIL,LittleChange,Westerly,Strong,LessUnstable,LittleChange,PC,Neutral,,SIG,HighEvrywher,WeakUp,Stability,,LessThanAve,SEQuad,XNIL
Average,CloseToDryAd,AllElse,Steep,CThruK,Neutral,Average,LittleChange,,ABI,Stifling,Neutral,Neutral,,Cloudy,Dry,Neutral,LessUnstable,PC,,N1GtLIGt_4,I,Slight,StrongUp,QStationary,I,NoMajor,Increasing,Weak,,WeakPos,StrongUp,StrongWest,,XNIL,May15_Jun14,DryMMoistL,PC,HI,XNIL,LittleChange,Westerly,,LessUnstable,LittleChange,Cloudy,Dry,Weak,XNIL,LowSHighN,StrongUp,Neutral,E_W_S,Average,LV,XNIL
