DrivHist,DrivingSkill,Age,RuggedAuto,Mileage,VehicleYear,ILiCost,ThisCarDam,AntiTheft,DrivQuality,RiskAversion,GoodStudent,OtherCar,MakeModel,Accident,SocioEcon,HomeBase,PropCost,CarValue,Antilock,ThisCarCost,OtherCarCost,Theft,Airbag,MedCost,SeniorTrain,Cushioning
One,SubStandard,Adult,Football,FiftyThou,Older,Thousand,,True,Poor,Cautious,False,True,Economy,,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Tank,FiftyThou,Older,Thousand,Mild,False,Poor,Adventurous,False,False,FamilySedan,Moderate,Middle,Rural,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Good
One,Normal,Adolescent,Tank,TwentyThou,Older,Thousand,,False,Excellent,Adventurous,False,True,FamilySedan,,Middle,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Expert,Adult,Football,Domino,Current,Thousand,,False,Excellent,Normal,False,True,Economy,,Middle,Secure,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adult,EggShell,Domino,Current,Thousand,,False,Normal,Adventurous,False,True,Luxury,,UpperMiddle,Secure,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Poor
Many,Expert,Adult,Football,FiftyThou,Older,Thousand,,True,Excellent,Adventurous,False,True,FamilySedan,,UpperMiddle,Rural,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Adult,Football,TwentyThou,Older,Thousand,,True,Normal,Cautious,False,True,FamilySedan,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Football,FiftyThou,Older,Thousand,,True,Normal,Normal,False,True,FamilySedan,,Middle,Secure,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Adult,Football,FiveThou,Older,Thousand,,False,Normal,Normal,False,False,Economy,,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Football,Domino,Older,Thousand,,True,Normal,Normal,False,True,Economy,,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adult,EggShell,TwentyThou,Current,Thousand,Severe,True,Poor,Normal,False,True,SportsCar,Moderate,UpperMiddle,Secure,TenThou,TenThou,True,TenThou,Thousand,False,True,Million,False,Poor
Many,Normal,Adult,Football,Domino,Older,Thousand,,False,Normal,Normal,False,True,FamilySedan,,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Adolescent,Football,FiftyThou,Older,Thousand,,False,Excellent,Adventurous,False,False,FamilySedan,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,,False,Normal,Adventurous,False,True,Economy,,Prole,City,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Senior,Football,FiveThou,Older,Thousand,,True,Excellent,Cautious,False,False,FamilySedan,,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,True,Good
Zero,Normal,Adult,EggShell,Domino,Older,Thousand,,False,Normal,Normal,False,False,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,,False,Normal,Normal,False,False,Economy,,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,,True,Normal,Cautious,False,True,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Football,TwentyThou,Older,Thousand,,True,Normal,Cautious,False,True,Economy,,Middle,Secure,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adult,EggShell,TwentyThou,Older,Thousand,Moderate,False,Poor,Normal,False,True,Economy,Moderate,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,HundredThou,False,Poor
Many,SubStandard,Adult,Football,TwentyThou,Older,Thousand,,False,Poor,Normal,False,True,FamilySedan,,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Good
One,Normal,Adult,EggShell,FiftyThou,Current,Thousand,,True,Normal,Cautious,False,False,Economy,,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Poor
Zero,Normal,Adult,Football,FiftyThou,Older,Thousand,,False,Normal,Normal,False,True,FamilySedan,,Prole,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Adult,Tank,FiftyThou,Older,Thousand,Mild,True,Poor,Cautious,False,True,FamilySedan,Mild,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Adult,Tank,FiftyThou,Older,Thousand,,False,Normal,Normal,False,False,FamilySedan,,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Many,SubStandard,Adult,EggShell,FiftyThou,Older,Thousand,Moderate,False,Poor,Normal,False,True,Economy,Moderate,Prole,City,TenThou,FiveThou,False,TenThou,Thousand,False,False,TenThou,False,Fair
Zero,Normal,Senior,Football,FiftyThou,Older,Thousand,,True,Normal,Cautious,False,True,FamilySedan,,Middle,Secure,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Good
Many,SubStandard,Adolescent,Tank,FiftyThou,Current,Thousand,,True,Poor,Cautious,False,False,FamilySedan,,Middle,Secure,TenThou,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Expert,Adolescent,EggShell,TwentyThou,Older,Thousand,,False,Excellent,Normal,False,True,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,,True,Normal,Normal,False,False,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
One,SubStandard,Adult,EggShell,Domino,Older,Thousand,Severe,False,Poor,Normal,False,False,Economy,Severe,Prole,Suburb,HundredThou,FiveThou,False,TenThou,Thousand,False,False,TenThou,False,Fair
Zero,Normal,Senior,Tank,Domino,Current,Thousand,,True,Normal,Normal,False,True,Luxury,,UpperMiddle,Suburb,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Many,Normal,Adult,EggShell,FiftyThou,Older,Thousand,,False,Normal,Normal,False,False,Economy,,Prole,Rural,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adolescent,EggShell,FiveThou,Older,Thousand,Severe,False,Poor,Normal,False,False,SportsCar,Moderate,Prole,Suburb,TenThou,TwentyThou,True,TenThou,TenThou,False,False,Million,False,Fair
Zero,Normal,Adult,EggShell,Domino,Older,Thousand,,False,Normal,Normal,False,False,Economy,,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Expert,Adult,Tank,FiftyThou,Older,Thousand,,False,Excellent,Normal,False,True,FamilySedan,,Middle,Suburb,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Expert,Adult,EggShell,TwentyThou,Older,Thousand,,False,Excellent,Adventurous,False,True,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Senior,Football,FiftyThou,Older,Thousand,,False,Normal,Normal,False,False,FamilySedan,,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Football,FiftyThou,Older,Thousand,,True,Normal,Cautious,False,True,FamilySedan,,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,,False,Normal,Normal,False,False,SportsCar,,Prole,City,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Expert,Adult,Tank,FiftyThou,Current,Thousand,,False,Excellent,Adventurous,False,True,Luxury,,UpperMiddle,City,TenThou,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Many,SubStandard,Adolescent,EggShell,FiftyThou,Older,HundredThou,Severe,False,Poor,Adventurous,False,False,Economy,Severe,Prole,City,TenThou,FiveThou,False,TenThou,TenThou,False,False,Thousand,False,Fair
Zero,Normal,Adult,Tank,TwentyThou,Older,Thousand,,True,Excellent,Cautious,False,False,FamilySedan,,Prole,Rural,TenThou,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adult,EggShell,FiveThou,Older,Thousand,,False,Normal,Normal,False,True,Economy,,Prole,City,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adult,Football,TwentyThou,Current,Thousand,,True,Poor,Normal,False,True,Luxury,,UpperMiddle,Secure,TenThou,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Adult,Football,TwentyThou,Current,Thousand,,False,Poor,Normal,False,True,Economy,,Prole,City,TenThou,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Adult,EggShell,TwentyThou,Current,Thousand,,True,Poor,Normal,False,True,SportsCar,,UpperMiddle,Secure,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Poor
Zero,Normal,Senior,EggShell,TwentyThou,Older,Thousand,,True,Normal,Cautious,False,True,Economy,,Prole,Rural,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Fair
Many,SubStandard,Adolescent,EggShell,FiveThou,Older,Thousand,Mild,False,Poor,Adventurous,False,True,Economy,Mild,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Senior,Football,TwentyThou,Older,Thousand,Severe,False,Poor,Adventurous,False,False,FamilySedan,Severe,Prole,City,TenThou,TenThou,False,TenThou,Thousand,False,False,HundredThou,False,Fair
Many,SubStandard,Adolescent,Football,Domino,Older,Thousand,Moderate,False,Poor,Normal,False,True,Economy,Moderate,Prole,City,TenThou,FiveThou,False,TenThou,TenThou,False,False,Thousand,False,Fair
Many,SubStandard,Senior,EggShell,TwentyThou,Current,Thousand,Moderate,True,Poor,Cautious,False,True,Economy,Moderate,UpperMiddle,Secure,HundredThou,TenThou,False,TenThou,TenThou,False,True,TenThou,True,Poor
Many,Normal,Adult,EggShell,FiftyThou,Older,Thousand,,False,Normal,Adventurous,False,False,Economy,,Prole,Rural,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Football,FiftyThou,Older,Thousand,,False,Poor,Normal,False,False,FamilySedan,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,SubStandard,Adolescent,Football,TwentyThou,Older,Thousand,Mild,True,Poor,Cautious,False,False,FamilySedan,Mild,Prole,City,Thousand,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Many,SubStandard,Senior,EggShell,TwentyThou,Older,Thousand,,False,Poor,Adventurous,False,True,Economy,,Prole,City,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Senior,EggShell,FiftyThou,Older,Thousand,,True,Normal,Normal,False,True,Economy,,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adolescent,Tank,TwentyThou,Older,TenThou,,False,Poor,Adventurous,False,False,FamilySedan,Severe,Prole,City,TenThou,FiveThou,False,Thousand,TenThou,False,True,Thousand,False,Excellent
Zero,Normal,Adult,Football,TwentyThou,Older,Thousand,,True,Normal,Normal,False,True,FamilySedan,,Middle,Rural,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,SubStandard,Adolescent,Tank,FiftyThou,Current,Thousand,,True,Poor,Cautious,True,True,FamilySedan,,Middle,Secure,Thousand,TenThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Senior,Tank,FiftyThou,Current,Thousand,,False,Normal,Normal,False,True,FamilySedan,,Middle,Suburb,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Many,SubStandard,Adult,Football,TwentyThou,Current,Thousand,,False,Poor,Adventurous,False,True,Luxury,,UpperMiddle,City,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,,False,Normal,Normal,False,False,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Expert,Adult,EggShell,FiftyThou,Older,Thousand,,False,Excellent,Normal,False,False,Economy,,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Expert,Adult,EggShell,FiveThou,Older,Thousand,,True,Excellent,Normal,False,True,Economy,,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Football,FiftyThou,Current,Thousand,,True,Normal,Normal,False,True,FamilySedan,,Middle,Suburb,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Fair
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,,False,Normal,Normal,False,True,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adolescent,Tank,FiftyThou,Older,Thousand,,False,Normal,Adventurous,False,True,FamilySedan,,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
One,Normal,Adolescent,Football,FiftyThou,Older,HundredThou,Severe,False,Poor,Adventurous,False,True,FamilySedan,Severe,Prole,City,TenThou,TenThou,False,TenThou,TenThou,False,True,Thousand,False,Excellent
One,Normal,Senior,Football,FiftyThou,Older,Thousand,,True,Normal,Cautious,False,True,FamilySedan,,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Fair
Many,SubStandard,Adult,EggShell,FiveThou,Older,Thousand,,False,Poor,Normal,False,True,SportsCar,,Middle,Secure,TenThou,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Senior,Football,FiftyThou,Older,Thousand,,False,Normal,Psychopath,False,True,FamilySedan,,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Expert,Adult,EggShell,FiftyThou,Older,Thousand,,True,Excellent,Cautious,False,True,SportsCar,,Middle,Secure,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Senior,Tank,TwentyThou,Older,Thousand,,False,Normal,Normal,False,False,FamilySedan,,Prole,City,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,True,Good
Zero,Normal,Adolescent,Football,FiftyThou,Older,HundredThou,Severe,False,Poor,Adventurous,False,True,FamilySedan,Severe,Prole,City,HundredThou,TenThou,False,TenThou,HundredThou,False,False,HundredThou,False,Fair
Many,SubStandard,Adult,EggShell,FiftyThou,Current,Thousand,Severe,False,Poor,Normal,False,False,FamilySedan,Severe,Middle,Rural,HundredThou,TwentyThou,True,HundredThou,TenThou,False,True,HundredThou,False,Fair
Zero,Normal,Adolescent,Football,TwentyThou,Older,Thousand,,True,Normal,Cautious,True,False,FamilySedan,,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Expert,Adult,Football,FiftyThou,Older,Thousand,,False,Excellent,Normal,False,True,FamilySedan,,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,EggShell,TwentyThou,Older,Thousand,,False,Normal,Normal,False,True,Economy,,Middle,Secure,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Expert,Adult,Tank,TwentyThou,Older,Thousand,,False,Excellent,Normal,False,True,FamilySedan,,Middle,Suburb,TenThou,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Many,SubStandard,Adolescent,Football,FiftyThou,Older,Thousand,Mild,False,Poor,Normal,True,True,FamilySedan,Mild,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Expert,Senior,Football,Domino,Older,Thousand,,True,Excellent,Cautious,False,True,Economy,,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Fair
Many,SubStandard,Adolescent,EggShell,Domino,Older,Thousand,Severe,True,Poor,Cautious,False,True,Economy,Severe,Prole,City,TenThou,FiveThou,False,TenThou,TenThou,False,False,Million,False,Poor
Zero,Normal,Senior,EggShell,FiftyThou,Older,Thousand,,False,Normal,Normal,False,True,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Poor
Zero,Normal,Adult,Football,TwentyThou,Older,Thousand,,True,Normal,Normal,False,False,FamilySedan,,Middle,Secure,TenThou,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Tank,TwentyThou,Older,Thousand,,False,Normal,Normal,False,True,FamilySedan,,Middle,Suburb,TenThou,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Excellent
Many,SubStandard,Adult,EggShell,FiveThou,Older,Thousand,,False,Poor,Normal,False,True,Economy,,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
One,SubStandard,Adult,EggShell,FiveThou,Current,Thousand,,True,Poor,Cautious,False,True,FamilySedan,,Middle,Secure,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Fair
Many,Normal,Adult,EggShell,FiftyThou,Current,Thousand,,False,Normal,Adventurous,False,True,Economy,,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Poor
Zero,Normal,Senior,Tank,Domino,Current,Thousand,,True,Normal,Cautious,False,True,Luxury,,UpperMiddle,Secure,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adult,Tank,FiveThou,Older,Thousand,,True,Normal,Normal,False,True,Luxury,,UpperMiddle,Suburb,Thousand,FiftyThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Many,SubStandard,Adult,EggShell,FiftyThou,Older,Thousand,Severe,False,Poor,Normal,False,False,Economy,Moderate,Prole,City,TenThou,FiveThou,False,TenThou,Thousand,False,False,TenThou,False,Poor
Many,SubStandard,Adult,Football,FiftyThou,Older,Thousand,Severe,False,Poor,Adventurous,False,False,FamilySedan,Severe,Prole,City,TenThou,TenThou,False,TenThou,Thousand,False,False,Million,False,Poor
Zero,Normal,Adult,Tank,TwentyThou,Older,Thousand,,True,Normal,Cautious,False,False,FamilySedan,,Middle,Secure,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Many,SubStandard,Senior,EggShell,TwentyThou,Older,TenThou,Severe,False,Poor,Normal,False,False,Economy,Severe,Prole,City,TenThou,FiveThou,False,TenThou,TenThou,False,False,TenThou,False,Poor
One,Normal,Adolescent,Football,TwentyThou,Current,Thousand,Moderate,False,Poor,Adventurous,False,False,Economy,Moderate,Prole,City,HundredThou,TenThou,False,TenThou,HundredThou,False,True,Thousand,False,Fair
Zero,Normal,Senior,Football,TwentyThou,Older,Thousand,,False,Poor,Adventurous,False,True,Economy,,Prole,City,TenThou,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adult,Tank,TwentyThou,Older,Thousand,,False,Normal,Normal,False,False,FamilySedan,,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
One,Normal,Adult,EggShell,FiftyThou,Older,Thousand,,False,Normal,Adventurous,False,True,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,EggShell,TwentyThou,Older,Thousand,Mild,False,Poor,Normal,False,True,SportsCar,Mild,Middle,Secure,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adolescent,EggShell,TwentyThou,Older,Thousand,,True,Normal,Normal,False,False,Economy,,Prole,Rural,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Adolescent,EggShell,FiftyThou,Current,Thousand,,False,Poor,Adventurous,False,True,Economy,,Prole,City,TenThou,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Poor
One,Normal,Adult,Football,FiveThou,Current,Thousand,,False,Poor,Adventurous,False,True,Luxury,,UpperMiddle,Suburb,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Many,Normal,Adult,EggShell,FiftyThou,Older,Thousand,,False,Normal,Normal,False,True,FamilySedan,,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,Normal,Adolescent,Football,TwentyThou,Current,Thousand,,False,Normal,Adventurous,False,False,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Zero,SubStandard,Adult,EggShell,FiftyThou,Older,Thousand,Moderate,True,Poor,Cautious,False,False,Economy,Moderate,Prole,City,TenThou,FiveThou,False,TenThou,Thousand,False,False,Thousand,False,Poor
One,Normal,Adult,EggShell,FiftyThou,Older,Thousand,,False,Poor,Adventurous,False,True,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,EggShell,TwentyThou,Older,Thousand,,False,Poor,Adventurous,False,True,Economy,,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
One,SubStandard,Adult,EggShell,FiftyThou,Current,Thousand,,True,Poor,Normal,False,False,SportsCar,,UpperMiddle,Secure,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Fair
One,SubStandard,Adult,Football,TwentyThou,Current,Thousand,Moderate,True,Poor,Cautious,False,True,Luxury,Moderate,UpperMiddle,Secure,HundredThou,FiftyThou,True,HundredThou,Thousand,False,True,Thousand,False,Fair
Zero,Normal,Adult,Football,Domino,Older,Thousand,,False,Normal,Normal,False,False,FamilySedan,,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Normal,Adult,Football,FiftyThou,Current,Thousand,,False,Excellent,Adventurous,False,True,Luxury,,UpperMiddle,Secure,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Fair
One,Normal,Senior,Football,TwentyThou,Current,Thousand,,False,Normal,Adventurous,False,False,Economy,,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Many,SubStandard,Adolescent,EggShell,FiftyThou,Older,Thousand,Moderate,False,Poor,Adventurous,False,False,Economy,Moderate,Prole,City,HundredThou,FiveThou,False,Thousand,HundredThou,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Football,TwentyThou,Older,Thousand,,False,Poor,Normal,False,False,SportsCar,,Middle,Secure,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
One,Normal,Adult,Football,TwentyThou,Current,Thousand,,False,Normal,Normal,False,True,FamilySedan,,Middle,Secure,Thousand,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Zero,SubStandard,Senior,EggShell,TwentyThou,Older,TenThou,Severe,True,Poor,Cautious,False,True,Economy,Severe,Prole,City,HundredThou,TenThou,False,TenThou,Thousand,False,False,HundredThou,True,Poor
Many,Normal,Senior,EggShell,Domino,Current,Thousand,,False,Excellent,Adventurous,False,True,SportsCar,,UpperMiddle,Suburb,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Fair
Many,Normal,Senior,Football,FiftyThou,Current,Thousand,,True,Normal,Normal,False,True,Luxury,,UpperMiddle,Secure,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Fair
Zero,Normal,Adult,EggShell,Domino,Older,Thousand,Mild,False,Normal,Normal,False,True,Economy,Mild,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Expert,Adult,Tank,TwentyThou,Older,Thousand,,False,Excellent,Normal,False,True,FamilySedan,,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Excellent
Zero,Expert,Senior,EggShell,TwentyThou,Older,Thousand,,True,Excellent,Cautious,False,True,Economy,,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,True,Poor
Many,SubStandard,Senior,EggShell,Domino,Older,TenThou,Severe,True,Poor,Cautious,False,True,Economy,Severe,Prole,City,TenThou,FiveThou,False,TenThou,Thousand,False,False,Million,True,Poor
Many,SubStandard,Adult,EggShell,FiftyThou,Older,Thousand,Moderate,False,Poor,Normal,False,True,SportsCar,Mild,Middle,Suburb,HundredThou,TwentyThou,False,HundredThou,Thousand,False,False,Thousand,False,Fair
